2025-06-14 12:27:22.292 python[63901:313770] Metal API Validation Enabled
         165505 function calls (161963 primitive calls) in 0.196 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       18    0.000    0.000    0.261    0.015 __init__.py:1(<module>)
    186/1    0.000    0.000    0.196    0.196 {built-in method builtins.exec}
        1    0.000    0.000    0.196    0.196 sequential_thinking_turbo.py:1(<module>)
    220/8    0.000    0.000    0.196    0.024 <frozen importlib._bootstrap>:1349(_find_and_load)
    220/8    0.000    0.000    0.196    0.024 <frozen importlib._bootstrap>:1304(_find_and_load_unlocked)
    215/9    0.000    0.000    0.195    0.022 <frozen importlib._bootstrap>:911(_load_unlocked)
   644/20    0.002    0.000    0.195    0.010 <frozen importlib._bootstrap>:480(_call_with_frames_removed)
    185/9    0.000    0.000    0.130    0.014 <frozen importlib._bootstrap_external>:1020(exec_module)
   307/81    0.000    0.000    0.094    0.001 <frozen importlib._bootstrap>:1390(_handle_fromlist)
   384/22    0.000    0.000    0.093    0.004 {built-in method builtins.__import__}
  215/202    0.000    0.000    0.083    0.000 <frozen importlib._bootstrap>:806(module_from_spec)
    27/25    0.000    0.000    0.081    0.003 <frozen importlib._bootstrap_external>:1318(create_module)
      185    0.000    0.000    0.080    0.000 <frozen importlib._bootstrap_external>:1093(get_code)
    27/25    0.075    0.003    0.080    0.003 {built-in method _imp.create_dynamic}
      111    0.000    0.000    0.071    0.001 <frozen importlib._bootstrap_external>:1085(source_to_code)
      111    0.071    0.001    0.071    0.001 {built-in method builtins.compile}
        1    0.000    0.000    0.034    0.034 __config__.py:1(<module>)
        1    0.000    0.000    0.025    0.025 _index_tricks_impl.py:1(<module>)
        1    0.000    0.000    0.016    0.016 base_events.py:1(<module>)
        1    0.000    0.000    0.016    0.016 defmatrix.py:1(<module>)
        1    0.000    0.000    0.012    0.012 _linalg.py:1(<module>)
        1    0.000    0.000    0.009    0.009 npyio.py:1(<module>)
        1    0.000    0.000    0.009    0.009 numeric.py:1(<module>)
  424/334    0.000    0.000    0.008    0.000 typing.py:426(inner)
      219    0.001    0.000    0.008    0.000 <frozen importlib._bootstrap>:1240(_find_spec)
      217    0.000    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:1551(find_spec)
      217    0.000    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:1522(_get_spec)
4396/4333    0.000    0.000    0.006    0.000 {built-in method builtins.hasattr}
        1    0.000    0.000    0.006    0.006 multiarray.py:1(<module>)
      566    0.001    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:1624(find_spec)
        1    0.000    0.000    0.005    0.005 _npyio_impl.py:1(<module>)
  453/451    0.002    0.000    0.005    0.000 {built-in method builtins.__build_class__}
        1    0.000    0.000    0.005    0.005 overrides.py:1(<module>)
        2    0.000    0.000    0.005    0.003 __init__.py:41(__getattr__)
        2    0.000    0.000    0.005    0.003 process.py:1(<module>)
        1    0.000    0.000    0.004    0.004 connection.py:1(<module>)
       74    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:782(_compile_bytecode)
      246    0.000    0.000    0.004    0.000 typing.py:1423(__init__)
        1    0.000    0.000    0.004    0.004 ssl.py:1(<module>)
        1    0.000    0.000    0.004    0.004 _os_warning.py:1(<module>)
        1    0.000    0.000    0.004    0.004 platform.py:482(mac_ver)
        1    0.000    0.000    0.004    0.004 platform.py:460(_mac_ver_xml)
        1    0.000    0.000    0.004    0.004 shape_base.py:1(<module>)
      296    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:1214(get_data)
  128/113    0.000    0.000    0.003    0.000 typing.py:574(__getitem__)
        1    0.000    0.000    0.003    0.003 tempfile.py:1(<module>)
      113    0.000    0.000    0.003    0.000 typing.py:753(Union)
        1    0.000    0.000    0.003    0.003 _dtype_like.py:1(<module>)
       74    0.003    0.000    0.003    0.000 {built-in method marshal.loads}
       60    0.000    0.000    0.003    0.000 typing.py:1446(__or__)
        1    0.000    0.000    0.003    0.003 activations.py:1(<module>)
       54    0.000    0.000    0.003    0.000 typing.py:580(__getitem__)
        1    0.000    0.000    0.003    0.003 _base.py:1(<module>)
        1    0.000    0.000    0.003    0.003 _char_codes.py:1(<module>)
      249    0.001    0.000    0.003    0.000 typing.py:260(_collect_type_parameters)
      126    0.000    0.000    0.002    0.000 __init__.py:330(_compile)
       20    0.000    0.000    0.002    0.000 __init__.py:287(compile)
       53    0.000    0.000    0.002    0.000 typing.py:812(Literal)
      296    0.002    0.000    0.002    0.000 {built-in method _io.open_code}
        1    0.000    0.000    0.002    0.002 socket.py:1(<module>)
       21    0.000    0.000    0.002    0.000 _compiler.py:743(compile)
      600    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:304(acquire)
     1067    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:145(_path_stat)
